RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_000599	P19652	Alpha-1-acid glycoprotein 2 precursor	13.14750	14.20969	14.02345	14.35513	14.01795	14.07209	14.40613	14.28628	14.47655	14.31616	14.36587	14.31375	-0.15200	-0.55639	1.03562	0.28688	-0.35845	0.23879
NP_000604	P02790	Hemopexin precursor	14.55636	14.52691	14.63080	14.63431	14.28878	14.54829	14.42630	14.33681	14.47198	14.44213	14.40052	14.15826	0.05658	-0.49411	-0.55639	0.32193	-0.20091	0.51602
NP_000654	P80404	4-aminobutyrate aminotransferase, mitochondrial precursor	10.36101	10.19014	9.81029	9.62719	9.72324	9.42561	11.60239	11.29108	11.46896	11.56645	11.19908	11.27268	0.52607	0.70487	0.16350	-0.15200	-1.59946	-0.51457
NP_000659	Q5I0R0	alcohol dehydrogenase 1B (class I), beta polypeptide 	11.77440	12.35819	10.41899	11.89563	12.06767	11.47764	11.53161	11.51438	11.13933	11.45668	11.23360	10.97864	1.20789	-0.51457	-1.02915	1.27501	0.54597	0.87971
NP_000661	P08319	Alcohol dehydrogenase 4	8.27627	8.60205	6.16193	9.78708	9.23964	7.95143	10.50147	10.41722	10.38965	10.12970	10.30407	10.19923	1.00000	0.33342	1.15056	-0.35845	-1.55639	-0.08927
NP_000680	P00352	Retinal dehydrogenase 1	12.79476	13.10098	10.63224	13.62194	12.90792	10.97335	13.27771	13.26689	12.49573	12.78375	12.19866	12.59517	-0.39593	-0.73697	-0.94342	1.72247	0.90304	1.04264
NP_000681	P05091	Aldehyde dehydrogenase, mitochondrial precursor	13.65443	13.63660	13.33894	13.68640	13.54844	13.65718	13.64838	13.60472	13.70700	14.01015	13.75621	13.79517	-0.45403	-0.08927	-0.23447	-0.10470	-0.23447	0.65076
NP_000745	P21964	Catechol O-methyltransferase	9.95611	10.69420	9.13244	10.10132	10.14735	10.02374	10.08295	10.42653	10.89511	10.69922	10.56357	11.45020	3.87676	-0.07400	-2.64386	3.27798	-0.15200	0.05658
NP_000884	P01042	Kininogen-1 precursor	13.67958	13.83878	13.10184	13.87311	13.89922	13.45811	14.12995	14.19442	14.09024	13.89808	14.07514	14.09612	-0.30401	0.40054	-0.15200	-0.64386	-0.34008	0.37851
NP_000911	P11498	Pyruvate carboxylase, mitochondrial precursor	11.59991	11.69057	11.31562	11.04392	11.55667	11.79393	11.05076	10.59669	10.98763	10.72941	11.22873	10.21998	-0.32193	-0.07400	-0.83650	0.04264	-0.05889	0.34483
NP_000933	P23284	Peptidyl-prolyl cis-trans isomerase B precursor	12.55232	12.46989	12.66711	12.39589	12.71724	13.33018	11.75635	11.87109	12.45258	12.25102	12.56724	12.38600	0.04264	0.43296	-0.49411	-0.34008	-0.25154	0.29866
NP_000969	P62832	60S ribosomal protein L23	12.99812	12.87894	12.34843	13.10472	13.00907	12.55182	13.23459	13.38365	13.26093	12.94085	13.24494	13.37239	-0.43440	-0.05889	0.45418	-0.51457	-0.43440	0.94111
NP_000970	Q07020	60S ribosomal protein L18	13.56368	13.47857	13.56074	13.46506	13.50009	13.94216	13.25763	13.32963	13.53470	13.51345	13.59235	13.78882	0.81558	0.26303	0.43296	-0.47393	-0.94342	0.33342
NP_000980	P62890	60S ribosomal protein L30	8.95642	8.84495	8.60821	9.08305	8.82218	8.87299	9.30327	9.30361	9.28924	9.12609	9.23882	9.20818	-0.28630	0.11103	0.44361	-0.62149	-0.55639	1.08406
NP_000986	P49207	60S ribosomal protein L34	12.89129	12.76530	12.54566	13.14674	13.07895	12.88978	13.11084	13.27184	13.27273	12.91383	13.34307	13.17388	0.41143	0.60407	0.46467	1.52607	-0.83650	-0.55639
NP_000993	P05388	60S acidic ribosomal protein P0	13.44714	13.57355	13.45034	13.37760	13.61268	14.11653	13.48606	13.60116	13.49572	13.61181	13.54441	13.87995	-0.07400	0.34483	0.61353	0.15056	-0.37707	0.02857
NP_000997	P61247	40S ribosomal protein S3a	12.53077	12.32580	12.13483	12.72024	11.86964	12.33643	13.01087	13.17827	12.91508	12.62059	12.76989	12.75499	-0.78588	-0.04394	-0.51457	-0.35845	-0.23447	0.84800
NP_000998	P62703	40S ribosomal protein S4, X isoform	12.93057	12.73839	12.38529	13.53253	13.40810	12.97949	13.20343	13.66222	13.63919	12.90152	13.32517	13.32587	0.05658	-0.13606	0.37851	-0.18442	-0.47393	0.02857
NP_001000	P46782	40S ribosomal protein S5	13.08204	13.05995	13.03744	12.61690	12.80147	13.41661	12.84596	13.08795	13.23635	13.20652	13.16944	13.27429	1.07039	0.31034	-0.01450	-0.34008	-0.25154	-0.47393
NP_001001	P62755	40S ribosomal protein S6	8.42828	8.38252	8.20921	8.40994	8.36431	8.34048	8.48154	8.45557	8.37252	8.36712	8.41777	8.41312	0.25096	-0.28630	0.38957	-0.15200	-0.34008	0.63227
NP_001003	P62243	40S ribosomal protein S8	8.32294	8.25695	8.14668	8.14341	8.14698	8.28130	8.32649	8.37463	8.23880	8.19521	8.22872	8.24080	0.27501	0.48543	0.29866	-0.66658	-0.26882	0.33342
NP_001012	P08708	40S ribosomal protein S17	7.99378	7.99263	7.87415	7.92879	8.05503	8.08210	8.03473	8.05582	8.01877	7.94807	8.06800	8.10795	-2.32193	0.32193	0.12433	-0.39593	-1.43440	0.55582
NP_001015	P63221	40S ribosomal protein S21	8.47306	8.55922	8.64603	8.48175	8.36410	8.53616	8.63464	8.66138	8.72157	8.74323	8.59026	8.63212	-0.04394	-0.28630	0.43296	0.28688	1.04264	0.57531
NP_001054	P02787	Serotransferrin precursor	11.17835	11.31242	11.25406	11.11099	10.98943	10.62500	12.20145	12.05215	12.55990	12.68907	12.27938	12.11938	0.29866	0.34483	-0.45403	-0.28630	-0.68966	-0.28630
NP_001076	P01011	Alpha-1-antichymotrypsin precursor	14.39670	14.86214	14.85495	14.53972	14.78442	14.73609	14.31266	14.10484	14.46643	14.00241	14.33678	14.00364	-0.64386	-1.28630	-1.00000	0.38957	1.74846	2.51349
NP_001089	Q99798	Aconitate hydratase, mitochondrial precursor	11.06880	10.91800	11.40398	10.25991	9.89915	11.46212	10.45803	10.36467	10.64367	10.84539	10.56686	11.03581	-0.66658	-0.08927	-0.43440	0.53605	0.37851	0.37851
NP_001093	P12814	Alpha-actinin-1	9.56442	9.71085	9.86899	8.73833	9.47150	9.83859	9.46441	9.31912	9.77777	9.30690	9.80165	9.31324	0.08406	0.49570	1.24489	-0.15200	-0.64386	-0.83650
NP_001144	P09525	Annexin A4	10.87415	11.46248	10.83547	11.61110	10.37178	11.77296	10.87219	10.76329	10.42976	10.92939	10.71775	10.45958	0.18903	-0.18442	-0.34008	-0.07400	-0.32193	0.44361
NP_001176	P25311	Zinc-alpha-2-glycoprotein precursor	13.30779	13.27322	13.36788	13.06632	13.34655	12.75435	13.12717	13.06758	13.15272	13.19855	13.07575	12.97330	0.50589	-0.21759	-0.04394	0.29866	0.26303	0.35614
NP_001350	Q16698	2,4-dienoyl-CoA reductase, mitochondrial precursor	9.26198	9.46768	8.90460	9.47794	9.16973	8.87062	9.63896	9.66962	9.29500	9.62528	9.20010	9.48542	-0.26882	-0.01450	-0.05889	-0.88897	-0.10470	0.41143
NP_001447	P21333	Filamin-A	8.32519	8.05603	8.22232	7.80633	8.46618	8.53700	7.65586	7.80239	8.00771	7.94705	8.37732	7.99204	-0.94342	-0.04394	0.35614	0.27501	0.23879	-1.28630
NP_001598	P09110	3-ketoacyl-CoA thiolase, peroxisomal precursor	13.03392	12.15811	11.32683	12.33005	12.33479	12.21046	12.76136	12.65657	12.59434	12.97113	12.66136	12.42128	-0.07400	-0.10470	0.37851	-0.94342	-0.39593	-0.08927
NP_001600	P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial precursor	10.64418	10.68215	9.36084	10.43661	8.44759	10.33142	11.68135	11.66058	10.83653	11.20221	11.08811	10.86859	-0.94342	-0.83650	-0.76121	1.12433	1.48543	0.96347
NP_001613	P02765	Alpha-2-HS-glycoprotein precursor	13.67561	12.89509	12.80205	13.83226	13.50823	13.05325	13.95866	14.07789	14.18037	14.13225	14.03193	13.98273	-1.21759	0.33342	1.72683	-0.37707	-0.66658	0.32193
NP_001616	Q5REI7	Adenylate kinase isoenzyme 2, mitochondrial	8.90695	9.01909	8.60420	9.21704	9.21786	9.40634	9.27353	9.27241	9.13205	9.45372	9.16415	9.66538	0.26303	-0.39593	-0.32193	-0.73697	0.58496	0.29866
NP_001624	P02760	AMBP protein precursor	14.58245	14.43289	14.22717	14.49572	14.58803	14.43663	14.47982	14.54607	14.52982	14.53670	14.55586	14.51518	-0.55639	0.12433	0.34483	-0.23447	-0.28630	0.09761
NP_001702	P21810	Biglycan precursor	9.94666	9.41510	9.06965	9.50740	10.28747	9.92386	9.77831	10.39065	10.56416	10.37791	10.13087	9.61109	0.41143	0.17632	3.97820	-0.71312	-0.55639	-0.43440
NP_001704	Q93088	Betaine--homocysteine S-methyltransferase	13.79136	13.73519	13.89063	13.72740	13.26958	13.78242	13.34454	13.21994	13.14258	13.38192	13.21789	12.65162	-1.08927	-0.91594	-0.94342	-0.08927	-2.55639	0.26303
NP_001743	P04040	Catalase	10.98277	10.82420	9.73494	10.68342	10.32350	10.11593	10.72034	10.64377	10.43446	11.01956	10.42423	10.64293	-0.91594	-0.57777	0.04264	-0.39593	0.21412	0.45418
NP_001748	P16152	Carbonyl reductase [NADPH] 1	10.42759	10.23494	9.50953	10.75182	9.96179	10.37616	10.14379	9.99520	10.11454	10.19777	9.82574	9.23157	-0.35845	-0.62149	-0.66658	1.04264	0.54597	1.02857
NP_001854	P14854	Cytochrome c oxidase subunit VIb isoform 1	11.05369	11.36007	10.43619	10.96346	11.46741	9.63333	10.82023	10.86623	11.19359	11.10948	11.19289	11.18565	-0.35845	-0.20091	0.18903	-0.62149	-0.05889	0.01436
NP_001866	P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial precursor	13.51346	13.12936	12.76007	12.79495	11.60679	12.11997	13.31223	13.35335	12.96990	13.12820	12.71396	12.86134	-0.05889	0.08406	-0.25154	0.20163	-0.15200	0.22651
NP_001894	P35221	Alpha-1 catenin	8.32035	8.39302	9.03278	8.14342	8.15233	8.90775	8.50910	8.43248	8.73816	8.88451	8.53928	8.38364	-0.88897	0.75702	0.31034	-0.91594	-0.57777	-0.15200
NP_001911	Q5R1V9	Decorin precursor	11.74008	11.04903	9.94786	10.83298	9.97239	10.35888	11.15419	11.33541	11.60874	11.12783	11.72094	10.47748	-0.30401	0.09761	0.34483	-0.49411	-0.07400	0.11103
NP_001952	Q5R8Z3	Elongation factor 2	13.19579	13.24531	13.19316	12.90874	13.39271	13.50182	13.36335	13.40126	13.23814	13.25625	13.43561	13.55563	0.20163	-0.15200	0.34483	-0.28630	-0.15200	0.20163
NP_001957	Q08426	Peroxisomal bifunctional enzyme	11.92248	11.26773	9.74241	12.01615	10.99010	11.14475	12.00004	11.95264	11.40521	11.81469	11.61088	11.58536	-0.13606	1.04264	1.26903	-1.25154	0.28688	0.28688
NP_001986	P33121	Long-chain-fatty-acid--CoA ligase 1	12.90082	12.07955	12.97680	12.88405	12.41096	13.47643	13.11766	12.88449	12.98675	13.11191	12.48760	13.05745	0.33342	0.62293	0.84800	-1.15200	-0.37707	-0.26882
NP_002017	P02751	Fibronectin precursor	11.05966	10.90456	10.53941	10.78470	11.23746	10.36290	11.36189	11.01050	10.84645	11.01205	11.18689	10.92684	0.11103	0.09761	0.69599	-0.64386	-1.59946	-0.68966
NP_002037	P04406	Glyceraldehyde-3-phosphate dehydrogenase	13.40588	13.72815	14.18131	13.19741	12.79304	13.90231	13.40285	13.04987	13.26045	13.39764	13.13251	13.59439	-0.32193	0.05658	0.08406	0.28688	-0.08927	-0.05889
NP_002147	P10809	60 kDa heat shock protein, mitochondrial precursor	9.94710	9.99335	10.80862	10.01996	10.53403	10.75467	10.63268	10.23731	9.74588	10.28494	9.57021	10.74025	-0.30401	0.04264	0.11103	0.09761	-0.13606	0.37851
NP_002159	P48735	Isocitrate dehydrogenase [NADP], mitochondrial precursor	10.31913	11.71230	11.52954	11.30996	11.96670	11.48300	10.95352	10.18548	11.01615	10.51480	11.53142	10.62050	-0.37707	-0.57777	-0.13606	-0.28630	-0.12029	0.08406
NP_002558	P30086	Phosphatidylethanolamine-binding protein 1	13.05822	13.16173	11.94282	12.83626	13.59076	12.66189	13.29154	13.35436	13.24023	13.31093	13.57640	13.40415	0.37851	-0.13606	-0.51457	0.11103	-0.26882	0.46467
NP_002624	P36871	Phosphoglucomutase-1	13.31614	13.24860	13.21506	13.49011	12.90551	13.19027	13.25031	13.26903	13.39847	13.43026	13.29648	13.08751	0.33342	-0.94342	-0.55639	1.15704	0.04264	1.22033
NP_002716	P51888	Prolargin precursor	9.22020	9.03051	9.25289	8.48256	8.63776	9.12006	8.64959	8.77655	8.71545	8.59639	8.96410	8.51041	-0.26882	0.93357	1.04264	-0.78588	0.21412	-0.64386
NP_002769	P07602	Proactivator polypeptide precursor	12.50440	12.04667	12.77469	11.55587	11.64749	12.54355	12.09912	12.16241	12.30950	12.36128	12.02735	11.87371	-0.05889	-0.55639	0.25096	0.12433	0.44361	0.17632
NP_002854	P06737	Glycogen phosphorylase, liver form	8.76718	8.85572	8.92873	8.88183	8.93485	8.56068	8.20790	8.04509	8.10113	8.53304	8.49793	9.24291	-0.34008	-0.66658	-0.55639	0.55582	0.04264	0.67807
NP_002943	P15880	40S ribosomal protein S2	10.22155	10.35152	10.38874	10.21190	10.26166	10.50766	9.92433	10.02213	10.09514	10.05635	10.09489	10.20251	0.49570	0.00000	0.49570	-0.45403	-0.43440	-0.02915
NP_002955	P05109	Protein S100-A8	7.41907	8.14452	11.78501	7.29831	7.44903	10.25902	9.30052	7.45528	10.90497	9.70350	10.45563	7.50804	1.43296	0.83996	1.31615	0.77400	0.29866	-1.59946
NP_002991	P21912	Succinate dehydrogenase [ubiquinone] iron-sulfur protein, mitochondrial precursor	11.21305	11.18185	10.74221	11.15930	11.06483	10.94538	10.23247	9.98872	10.65856	10.84455	10.35174	10.63914	-0.76121	0.40054	0.65992	-0.73697	-0.25154	0.15056
NP_003118	Q13813	Spectrin alpha chain, brain	9.86665	9.88319	9.72445	8.92476	9.76576	10.00402	8.89505	8.97143	8.93066	9.08139	9.64425	9.50876	0.18903	0.21412	0.13750	-0.81097	-0.49411	0.13750
NP_003119	Q01082	Spectrin beta chain, brain 1	8.57848	8.80826	8.66672	8.51564	8.85072	8.90181	8.51935	8.56589	8.55831	8.69529	8.79478	8.80985	-0.39593	-0.02915	0.27501	-0.34008	-0.05889	0.01436
NP_003357	P22695	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor	9.25866	8.95066	8.96670	8.90068	8.69672	8.42878	9.08404	8.88327	9.03635	9.23117	8.88884	9.01445	-0.02915	0.23879	1.11770	-0.53533	0.54597	0.05658
NP_003365	P21796	Voltage-dependent anion-selective channel protein 1	10.02159	10.31527	10.55777	10.17548	9.64245	10.71957	10.98423	10.77843	10.59624	10.90688	10.84025	10.92644	-0.49411	0.28688	0.26303	-0.83650	-0.91594	0.11103
NP_003371	P08670	Vimentin	12.50477	11.58697	12.19032	10.67997	10.68964	12.13323	11.25873	11.68354	11.73882	11.22776	11.62510	10.36352	-0.25154	0.40054	0.59455	0.09761	0.75702	-1.02915
NP_003840	P53597	Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial precursor	11.97078	12.05773	12.17167	12.24924	11.64959	12.16790	12.25531	12.19588	12.20524	12.20606	12.09636	12.47229	-0.32193	0.05658	-0.02915	-0.43440	-0.35845	0.11103
NP_004042	Q02338	D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor	8.95951	8.60014	8.63622	8.63829	8.36561	8.79752	8.73380	8.66916	8.93374	9.23289	9.08256	8.91703	0.46467	-0.10470	0.53605	-0.30401	-0.15200	0.23879
NP_004075	P59665	Neutrophil defensin 1 precursor	6.83821	7.11360	8.49512	6.55681	6.49797	6.61366	7.01308	6.61320	10.59685	7.66138	7.47777	6.89405	1.58496	0.05658	1.01436	0.29866	0.42223	-1.83650
NP_004083	P30084	Enoyl-CoA hydratase, mitochondrial precursor	13.58472	13.87902	13.59688	13.54537	13.63460	13.74474	13.39166	13.32849	13.45361	13.67306	13.50027	13.77774	-0.32193	-0.35845	-0.37707	-0.15200	-0.02915	0.84800
NP_004100	P10109	Adrenodoxin, mitochondrial precursor	10.06890	10.07676	9.95610	10.03869	9.40396	10.18233	10.07129	10.05787	10.05382	10.40622	10.00051	10.52697	0.12433	0.20163	0.51602	-0.66658	-0.64386	0.02857
NP_004160	P34896	Serine hydroxymethyltransferase, cytosolic	9.72236	9.71776	9.71544	9.48044	9.61174	9.76384	9.24872	9.05934	9.32926	9.41243	9.21942	9.46053	0.04264	-0.16812	-0.37707	0.01436	0.45418	0.62293
NP_004199	O95831	Programmed cell death protein 8, mitochondrial precursor	8.60825	8.76182	8.47372	9.10819	8.65246	8.84841	8.60910	8.38474	8.86564	8.95931	8.77958	8.90848	-0.18442	1.19535	0.15056	-0.45403	-0.04394	0.41143
NP_004360	P12111	Collagen alpha-3(VI) chain precursor	11.23351	9.06343	8.99521	9.81747	9.98994	9.80547	9.22566	9.40972	9.34759	9.04256	9.53559	9.30973	-0.62149	0.31034	2.71149	0.86394	-0.73697	0.26303
NP_004484	Q99714	3-hydroxyacyl-CoA dehydrogenase type-2	12.62112	12.33643	11.51384	12.26441	12.31376	12.65462	11.85213	11.60266	12.06845	12.26003	11.91812	12.15625	-0.28630	-0.18442	0.33342	0.07039	-0.07400	0.50589
NP_004543	O43920	NADH-ubiquinone oxidoreductase 15 kDa subunit	11.07444	11.18138	10.62775	11.41166	12.02871	10.45562	11.37492	11.40279	11.99900	11.33369	11.80546	11.80996	0.00000	-0.53533	0.50589	-1.15200	-0.47393	0.00000
NP_004544	O75380	NADH-ubiquinone oxidoreductase 13 kDa-A subunit, mitochondrial precursor	10.96474	11.08290	11.16852	10.85666	11.21262	11.48269	10.45756	10.17686	10.86375	10.88078	11.19309	10.91704	-0.13606	-0.28630	0.83996	-0.25154	-0.39593	0.58496
NP_004578	Q9P2E9	Ribosome-binding protein 1	9.84119	9.87661	9.99733	9.88742	10.43563	10.29511	9.69125	9.76167	10.20904	9.74419	10.32132	10.25299	-0.16812	-0.71312	-0.13606	-0.16812	-0.07400	0.02857
NP_004588	P62317	Small nuclear ribonucleoprotein Sm D2	10.97954	11.06813	11.12303	10.52894	10.70416	11.57024	10.65113	10.82763	11.36329	11.04381	11.37044	10.95392	0.32193	0.52607	1.69153	0.05658	-0.43440	0.58496
NP_004604	P21980	Protein-glutamine gamma-glutamyltransferase 2	8.63606	9.76799	10.94193	8.60141	8.32098	10.31407	8.44318	8.03952	8.59480	8.32370	7.95459	10.02926	-0.08927	0.63227	0.01436	-0.59946	-0.30401	0.00000
NP_004896	P30041	Peroxiredoxin-6	10.52332	10.63825	9.90714	10.45902	11.17723	10.46711	10.75651	10.51773	10.77090	10.99174	9.81747	9.88712	0.27501	-0.97143	-0.45403	1.72247	0.26303	0.68706
NP_004915	O43707	Alpha-actinin-4	10.03302	9.74322	10.15245	10.21459	10.15806	10.16571	9.88001	9.89340	10.11465	10.13935	10.34601	11.14782	0.68706	0.28688	0.51602	-0.15200	0.02857	-0.37707
NP_005132	P02675	Fibrinogen beta chain precursor	14.32792	14.46025	14.47516	14.44423	14.32275	14.45912	14.41743	14.34203	14.31970	14.18584	14.24436	13.88378	-0.76121	-0.13606	-0.25154	0.46467	0.28688	0.43296
NP_005134	P00738	Haptoglobin precursor	14.61435	14.72169	14.61742	14.63077	14.71020	14.61926	14.61591	14.47898	14.58954	14.53827	14.63491	14.45206	0.31034	-0.73697	-0.39593	0.02857	0.17632	0.48543
NP_005262	P00367	Glutamate dehydrogenase 1, mitochondrial precursor	12.04217	12.48959	12.39290	13.04041	11.84099	12.35262	12.77651	12.82929	12.57708	12.83550	12.34182	13.06409	-0.83650	-0.37707	-0.34008	-0.05889	0.20163	0.02857
NP_005304	P30101	Protein disulfide-isomerase A3 precursor	10.28873	10.30272	10.60206	10.55534	10.21995	10.94430	10.68908	10.53692	10.54343	10.48210	10.30578	10.58788	-0.21759	0.46467	-0.01450	-0.39593	-0.57777	0.17632
NP_005317	Q16775	Hydroxyacylglutathione hydrolase	12.65074	12.84003	12.13673	12.37977	13.31485	12.70893	11.60398	11.76561	11.85886	12.03698	11.96437	12.39172	0.25096	-0.32193	0.37851	0.12433	-0.12029	0.81558
NP_005580	Q02252	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial precursor	11.57908	11.54306	11.32175	10.74666	10.75631	10.63482	11.43521	11.34889	11.31903	11.42031	11.13644	11.05903	0.11103	-0.08927	0.11103	0.59455	0.01436	-0.25154
NP_005827	P52758	Ribonuclease UK114	10.59058	10.96759	10.25840	10.78554	9.98058	9.84955	11.33595	11.27673	11.25612	11.23984	10.68461	11.23789	0.07039	-0.59946	-0.59946	0.28688	-0.05889	1.00000
NP_005871	O60884	DnaJ homolog subfamily A member 2	7.86673	7.91109	7.72602	8.28849	7.33756	7.96028	8.18442	8.19570	8.06416	7.96839	7.94324	7.91750	-0.64386	-0.51457	0.75702	-0.49411	-0.34008	0.08406
NP_005887	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	10.33274	9.66398	8.47243	10.06636	9.14933	9.24224	9.78622	9.80906	9.99081	10.01151	9.63116	9.54279	-0.13606	-0.55639	0.37851	0.25096	-0.51457	0.18903
NP_005908	P40925	Malate dehydrogenase, cytoplasmic	9.64686	9.53971	9.05311	9.23003	9.96081	8.60810	9.60969	9.21396	9.31323	9.43107	9.48634	9.64692	-0.23447	-0.81097	-0.30401	0.64155	0.33342	0.48543
NP_005909	P40926	Malate dehydrogenase, mitochondrial precursor	8.98024	9.22244	9.16872	9.04977	8.89887	9.52784	8.96657	8.89786	9.04319	9.17899	9.14776	9.24455	-0.76121	-0.45403	-0.07400	0.28688	0.46467	1.62761
NP_005947	P11586	C-1-tetrahydrofolate synthase, cytoplasmic	9.36175	9.16374	8.57296	9.00196	9.33089	9.04544	8.97376	8.84243	8.85988	8.94397	8.73209	8.41689	0.09761	-0.15200	0.07039	-0.47393	0.75702	0.09761
NP_006001	P55145	ARMET protein precursor	11.48875	10.80681	11.36630	11.38270	11.06525	12.23129	10.11163	9.76283	11.14470	10.25786	11.03539	11.25337	0.16350	-0.26882	-0.41504	0.02857	1.13093	0.66903
